Location,Position,Start DateTime,End DateTime
ARC,L1,2023-09-05 7:45 AM,2023-09-05 10:15 AM
ARC,L1,2023-09-05 10:30 AM,2023-09-05 1:00 PM
ARC,L1,2023-09-05 1:15 PM,2023-09-05 3:45 PM
ARC,L1,2023-09-05 4:00 PM,2023-09-05 6:30 PM
ARC,L1,2023-09-05 6:45 PM,2023-09-05 9:15 PM
ARC,L1,2023-09-06 7:45 AM,2023-09-06 10:15 AM
ARC,L1,2023-09-06 10:30 AM,2023-09-06 1:00 PM
ARC,L1,2023-09-06 1:15 PM,2023-09-06 3:45 PM
ARC,L1,2023-09-06 4:00 PM,2023-09-06 6:30 PM
ARC,L1,2023-09-06 6:45 PM,2023-09-06 9:15 PM
ARC,L1,2023-09-07 7:45 AM,2023-09-07 10:15 AM
ARC,L1,2023-09-07 10:30 AM,2023-09-07 1:00 PM
ARC,L1,2023-09-07 1:15 PM,2023-09-07 3:45 PM
ARC,L1,2023-09-07 4:00 PM,2023-09-07 6:30 PM
ARC,L1,2023-09-07 6:45 PM,2023-09-07 9:15 PM
ARC,L1,2023-09-08 7:45 AM,2023-09-08 10:15 AM
ARC,L1,2023-09-08 10:30 AM,2023-09-08 1:00 PM
ARC,L1,2023-09-08 1:15 PM,2023-09-08 3:45 PM
ARC,L1,2023-09-08 4:00 PM,2023-09-08 6:30 PM
ARC,L1,2023-09-08 6:45 PM,2023-09-08 9:15 PM
ARC,L1,2023-09-09 7:45 AM,2023-09-09 10:15 AM
ARC,L1,2023-09-09 10:30 AM,2023-09-09 1:00 PM
ARC,L1,2023-09-09 1:15 PM,2023-09-09 3:45 PM
ARC,L1,2023-09-09 4:00 PM,2023-09-09 6:30 PM
ARC,L1,2023-09-09 6:45 PM,2023-09-09 9:15 PM
ARC,L1,2023-09-10 10:45 AM,2023-09-10 1:15 PM
ARC,L1,2023-09-10 1:30 PM,2023-09-10 4:00 PM
ARC,L1,2023-09-10 4:15 PM,2023-09-10 6:45 PM
ARC,L1,2023-09-10 7:00 PM,2023-09-10 9:30 PM
ARC,L1,2023-09-11 10:45 AM,2023-09-11 1:15 PM
ARC,L1,2023-09-11 1:30 PM,2023-09-11 4:00 PM
ARC,L1,2023-09-11 4:15 PM,2023-09-11 6:45 PM
ARC,L1,2023-09-11 7:00 PM,2023-09-11 9:30 PM
ARC,L2,2023-09-05 7:45 AM,2023-09-05 10:15 AM
ARC,L2,2023-09-05 10:30 AM,2023-09-05 1:00 PM
ARC,L2,2023-09-05 1:15 PM,2023-09-05 3:45 PM
ARC,L2,2023-09-05 4:00 PM,2023-09-05 6:30 PM
